Date,baidu_index20,baidu_index19
01/01/2020,3.46,5.05
02/01/2020,3.52,4.06
03/01/2020,5.52,4
04/01/2020,6.1,3.72
05/01/2020,5.32,3.99
06/01/2020,5.6,4.22
07/01/2020,6.41,4.43
08/01/2020,7.34,5.29
09/01/2020,8.14,4.58
10/01/2020,6.62,4.57
11/01/2020,7.56,4.69
12/01/2020,6.22,4.81
13/01/2020,5.76,4.86
14/01/2020,5.46,5.66
15/01/2020,5.91,7.04
16/01/2020,6,6.49
17/01/2020,6.44,6.77
18/01/2020,7.71,7.03
19/01/2020,7.41,7.11
20/01/2020,8.31,7.48
21/01/2020,10.74,8.71
22/01/2020,11.84,9.6
23/01/2020,11.14,9.22
24/01/2020,3.89,7.38
25/01/2020,1.3,5.54
26/01/2020,0.66,6.54
27/01/2020,0.43,5.64
28/01/2020,0.32,4.7
29/01/2020,0.26,4.27
30/01/2020,0.24,3.72
31/01/2020,0.24,3.5
01/02/2020,0.24,3.28
02/02/2020,0.46,3.4
03/02/2020,0.21,3.37
04/02/2020,0.23,3.45
05/02/2020,0.28,3.99
06/02/2020,0.28,3.56
07/02/2020,0.27,4.09
08/02/2020,0.28,3.71
09/02/2020,0.29,2.98
10/02/2020,0.27,2.9
11/02/2020,0.27,3.05
12/02/2020,0.29,3.9
13/02/2020,0.31,3.78
14/02/2020,0.31,3.34
15/02/2020,0.3,3.07
16/02/2020,0.29,3.28
17/02/2020,0.28,4.32
18/02/2020,0.26,3.62
19/02/2020,0.25,4.23
20/02/2020,0.26,3.46
21/02/2020,0.26,3.81
22/02/2020,0.25,3.3
23/02/2020,0.25,3.33
24/02/2020,0.26,3.88
25/02/2020,0.26,4.73
26/02/2020,0.26,3.89
27/02/2020,0.24,4.07
28/02/2020,0.26,3.47
29/02/2020,0.27,3.36
01/03/2020,0.26,3.32
02/03/2020,0.25,3.91
03/03/2020,,5.06
04/03/2020,,4
05/03/2020,,4.28
06/03/2020,,3.57
07/03/2020,,3.51
08/03/2020,,3.43
09/03/2020,,3.85
10/03/2020,,4.99
11/03/2020,,4.21
12/03/2020,,4.46
13/03/2020,,3.66
14/03/2020,,3.49
15/03/2020,,3.49
